utente,tipo_evento,cod_2
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,2,3
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,3,1
3136,3,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,1,1
3136,3,1
3136,3,1
